Trip_ID,Trip_Distance,Type_of_Cab,Customer_Since_Months,Life_Style_Index,Confidence_Life_Style_Index,Destination_Type,Customer_Rating,Cancellation_Last_1Month,Var2,Var3,Gender,Surge_Pricing_Type
T0005689460,23.58,1,2.0,2.42769,0,0,3.905,0,47,66,0,2
T0005689461,29.47,1,10.0,2.78245,1,0,3.45,0,55,78,1,2
T0005689464,41.58,1,10.0,2.79805,1,4,3.50125,2,55,77,1,2
T0005689465,61.56,2,10.0,2.79805,1,0,3.45375,0,52,74,1,3
T0005689467,54.95,2,10.0,3.03453,1,0,3.4025,2,49,83,1,2
T0005689469,23.58,4,10.0,2.79805,1,0,2.5975,1,55,83,1,3
T0005689470,29.72,4,10.0,2.83958,2,1,2.975,1,50,75,1,2
T0005689472,23.58,1,2.0,2.81871,1,0,3.5825,0,47,66,1,2
T0005689473,61.73,2,3.0,2.79805,1,0,3.14625,0,55,83,1,2
T0005689474,61.73,3,5.0,3.04467,1,0,2.44375,1,55,83,1,3
T0005689475,46.07,3,10.0,2.95887,2,1,2.49125,2,48,69,0,2
T0005689477,61.73,1,2.0,2.95327,2,2,2.935,1,47,66,1,2
T0005689479,39.73,1,10.0,2.8487,2,1,3.12875,2,47,76,1,2
T0005689482,31.16,1,6.0,2.6917,1,0,2.1475,0,53,83,0,1
T0005689484,61.73,2,2.0,2.80658,2,0,2.07625,0,51,75,1,2
T0005689485,23.58,1,2.0,2.350658749999999,0,0,3.1975,1,47,66,0,2
T0005689486,56.83,4,4.0,2.6615,1,0,1.39625,0,47,80,1,3
T0005689487,23.58,3,3.0,2.97795,1,6,4.5825,0,47,66,1,1
T0005689491,23.58,1,6.0,2.35974,1,1,1.7975,0,50,66,1,2
T0005689492,61.73,0,2.0,2.82307,1,3,2.7975,2,51,80,1,3
T0005689493,61.73,2,2.0,3.06236,2,0,2.0825,0,52,83,1,1
T0005689496,25.6,2,2.0,2.57278,1,5,4.265,2,47,66,1,2
T0005689497,23.58,2,9.0,2.48367,2,0,2.45,1,47,66,1,3
T0005689498,23.58,3,2.0,2.61439,2,0,4.14625,0,47,66,1,3
T0005689501,38.32,0,10.0,2.77751,2,0,3.605,2,51,73,1,3
T0005689502,23.58,1,2.0,2.70013,0,0,1.6125,2,52,83,1,1
T0005689503,61.73,2,10.0,2.9851,2,0,2.4525,1,55,83,1,2
